Topic,Category,Tags,Answer,Links,Text
Public Roadmap,Product,Development,"Our team continues to work on sustainable strategies, avoiding shortsighted directions that could possibly harm long-term success or the project's overall progress. You may check on the public roadmap for 2025 to see how we're planning further growth.

(http://minterest.com/blog/navigating-toward-product-market-fit/#:~:text=Path%20Forward)","https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Links MINTY listing to PMF and TVL, matching this blog’s focus on PMF metrics and growth strategies.",
Team Vision,General,Development,"Our core strategies are centred on achieving the ideal position in the market. Our vision is to foster sustained growth over the long term, building a strong foundation for future innovation and product development within the community.","https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Focuses on TVL and PMF challenges, matching this blog’s discussion of market fit and growth strategies.

https://minterest.com/blog/minterest-redefining-defi",
Product Shift,Product,Development,"Product-market fit for Minterest means creating a lending platform with strong growth in assets on Minterest, low onboarding friction, and sustainable growth, as detailed in https://minterest.com/blog/navigating-toward-product-market-fit/. This will be measured through data like TVL growth and user engagement while aiming for a $50M+ borrow TVL goal.

The team's focused on refining our approach to product-market fit, aligning efforts with current industry trends while adapting to new obstacles. Our core strategies are centred on achieving the ideal position in the market. This is an ongoing process, and we're committed to adjusting as we move forward.

(http://minterest.com/blog/navigating-toward-product-market-fit | http://minterest.com/blog/ama-recap-product-market-fit)","https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Highlights PMF and TVL challenges, matching this blog’s focus on market fit and competitive strategies.

https://minterest.com/blog/ama-recap-product-market-fit/?utm_source=chatgpt.com",
TVL Target,Product,Development,"The $50M borrow TVL milestone ensures liquidity stays steady and borrowing demand is sustainable. At the moment, every step is bringing the project closer to its core targets. Minterest is focused on future plans that will support a successful launch as we reach important milestones. Liquidity in the lending sector remains concentrated among dominant players.

Growing TVL in a consolidating DeFi market is the biggest challenge, this is being addressed by focusing on product-market fit approaches and partnerships to hit the TVL milestone for a successful launch.

(http://minterest.com/blog/navigating-toward-product-market-fit)","https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Addresses delays and TVL, matching this blog’s focus on market challenges and sustainable growth.",
Market Conditions,General,Development,"Waiting until Minterest’s TVL grows to support a stable, impactful launch makes sense, even if it feels tough, because rushing could weaken the ecosystem’s long-term value — and external market factors may reflect on project growth. We're progressing cautiously, staying mindful of these conditions, and continuously adapting new strategies.

(http://minterest.com/blog/navigating-toward-product-market-fit)","http://minterest.com/blog/navigating-toward-product-market-fit
Explanation: Focuses on TVL and PMF challenges, matching this blog’s discussion of market fit and growth strategies.",
Current Networks,Product,"Partnerships, Development","Minterest is currently active on https://ethereum.minterest.com, https://mantle.minterest.com, https://taiko.minterest.com, and Morph (https://adaptifi.minterest.com) to maximise liquidity and growth where capital is concentrated, as detailed in the latest blog. The team is considering other expansions based on strategic opportunities in the market, supporting TVL milestones and sustainable growth as the protocol scales.",https://minterest.com/blog/ama-recap-product-market-fit/?utm_source=chatgpt.com,
Recent Partnerships,Product,"Partnerships, Development","Lately, many projects have developed quickly, and it's true that our landscape has changed drastically. We're steadily working to reach our next stages. Recently, we co-hosted online tasks on https://galxe.com/quest/AGNI/GCGKjtoW4T with the https://agni.finance/ to engage a broader audience, and have been collaborating with https://methprotocol.xyz/ as part of their https://app.methprotocol.xyz/campaigns/methamorphosis-s3. Additionally, we've partnered with https://coin98.com/ to deploy our Fan Card NFT on the https://viction.xyz/, enabling listing/trading on the https://dagora.xyz/. Vesting schedules are managed using the https://starship.network/ dashboard.

As you know, we also launched a franchised model of our app (https://adaptifi.minterest.com/) on the https://morphl2.io/ and joined their https://morphl2.io/points/greattoken_migration.",https://minterest.com/blog/ama-recap-product-market-fit/?utm_source=chatgpt.com,
MINTY Token,Product,Development,"MINTY isn't tradable yet, and there's no confirmed launch date, That's still to be determined. We understand the wait has been long but sit tight, we'll notify our members as soon as public release plans are available.

The token design drives long-term value in Minterest’s lending ecosystem, supporting fees, buybacks, and utility as the platform grows. Targeting the $50M borrow TVL milestone ensures a stable launch benefiting all holders. Feel free to dive into more details about the token at https://minterest.com/minty-token. Thank you.","https://minterest.com/minty-token

https://minterest.com/blog/guide_to_public_distribution/
Explanation: Discusses MINTY’s pending launch, aligning with this blog’s focus on token distribution and timelines.",
Fan Card NFTs,Product,"Partnerships, Development","We've introduced the https://minterest.com/blog/minterest_fan_card_nft as a new way to provide token holders with NFTs representing allocations in MINTY that can be traded or managed, offering an unparalleled solution. These come in two distinct forms: the https://dagora.xyz/collection/viction/0x3588719D64E79Ea8a29a07aB41e0E6C88EDb589F and the https://dagora.xyz/collection/viction/0x4e69F037071a5c0155ce4a96365dA029035199A0. Each Fan Card can be listed at a specified price on https://dagora.xyz's marketplace, enabling owners to buy or sell their MINTY allocations. The vesting schedules linked to each can also be tracked through a dashboard available on the https://starship.network app, which requires KYC verification by https://oneid.xyz. You can choose how to interact—either trading upfront or claiming tokens over time.

This format integrates https://coin98.com's browser extension, associating the MINTY token with the https://viction.xyz network and expanding use cases https://viction.xyz/ecosystem. It allows holders to access them securely through trusted platforms, always under the protection of the Viction blockchain.
For tutorial videos and extra context on the Minterest Fan Card NFT, please visit https://docs.minterest.com/minterest_fan_card_nft.","https://minterest.com/blog/minterest_fan_card_nft
Explanation: Directly details the Minterest Fan Card NFT, including its features, utility, and potential marketplace integration, aligning with the entry’s mention of Fan Card NFTs and future considerations.",
NFT Boosters,Product,Guidelines,"https://minterest.com/nft-gallery/ are digital assets that offer more than just collectible value, they provide special lending benefits including boosted rates and protocol rewards.

By holding these NFTs, users gains special access to incentives designed to encourage participation in the platform. Some NFTs also provide governance power, giving holders a voice in future protocol decisions. This model aligns rewards with sustained involvement in the community, making each NFT a tradable asset for DeFi users aiming to max out returns while supporting further growth of the ecosystem.

You can explore the NFT booster collection on popular websites such as https://opensea.io/collection/minterest or on https://mintle.app/explore/MANTLE:0x7214f5fc6af9249e424f65ceb371b463e3657c0e?sort=cheapest. For more insights, it's also good to check out more details in https://minterest.com/blog/5-reasons-to-get-minterest-nfts-on-mantle-right-now or on https://docs.minterest.com/minterest-faq/minterest-nfts.",,
TGE,Product,Development,"MINTY listing aligns with product-market fit alignment where Minterest achieves at least a $50M borrow TVL position. We’ll share updates as we make progress, but there are no specific dates yet, as long-term stability and growth are being prioritised first and foremost.

The token's release date is yet to be determined, and we understand it's been a long wait for some. The project is actively prioritising strategic foundations for lasting sustainability, including exploring stablecoin markets, reaching a strong TVL target, and ensuring the timing aligns with both ecosystem stability and favourable external market conditions.
We're aiming for a meaningful product-market fit and for more details, including this year's roadmap, please check out https://minterest.com/blog/navigating-toward-product-market-fit/#:~:text=The%20Path%20Forward. Thank you.","https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Links MINTY listing to PMF and TVL, matching this blog’s focus on PMF metrics and growth strategies.

https://minterest.com/blog/guide_to_public_distribution/
Explanation: Discusses token utility and TVL, aligning with this blog’s focus on tokenomics and market strategy.",
Exchange Listing,Community,"Partnerships, Development","Targeting TVL on Minterest to exceed $50M borrow is required to consider listing, focusing on building a robust ecosystem. the project has explored multiple options with notable exchanges but these details aren't part of the public domain.

(http://minterest.com/blog/navigating-toward-product-market-fit)","https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Defines PMF with TVL and onboarding focus, directly relating to this blog’s PMF metrics and UX improvements.",
Listing Delay,Product,Development,"Market volatility in mid-2024 led to the postponement. Now, TVL consolidation requires a focus on product-market fit and driving towards the TVL target for a sustainable token launch.

There are no guarantees against delays, as market conditions and TVL growth are unpredictable, but the listing is tied to a TVL milestone for stability. https://minterest.com/blog/ama-recap-product-market-fit/#:~:text=Q5 about the steps the project is taking to reach its borrow TVL target. The team will keep you updated on progress toward this goal.

The wait has been challenging, but 100,000 followers, a peak TVL of $16M, and expansion across 4 chains show commitment. The team remains focused on building stability to deliver real value, knowing that meaningful results will take more time.","https://minterest.com/blog/ama-recap-product-market-fit/?utm_source=chatgpt.com

https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Links delays to PMF and TVL, matching this blog’s focus on market fit and growth metrics.

https://minterest.com/blog/minterest-is-moving-forward/
Explanation: Highlights milestones and trust, aligning with this blog’s progress update and community vision.",
Listing Challenges,Product,Development,"Market conditions like TVL consolidation and fierce competition among 500+ lending protocols are real challenges for growth. Minterest and MINTY need to work hand in hand, where the lending platform drives demand for MINTY’s utility, and a strong token launch fuels ecosystem growth, so the focus is on PMF and key TVL milestones to ensure they thrive together, even with these hurdles.

The project is currently readjusting any token listing plans and schedule because of major changes in the lending market. We're working to nail down the right product-market fit by boosting growth and adoption to make sure the launch is solid. Once we have a confirmed date we'll update our members, thank you for your patience.","https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Highlights PMF and TVL challenges, matching this blog’s focus on market fit and competitive strategies.",
Risk Factors,General,"Safety, Development","Key steps through 2025 include simplifying Minterest, building partnerships, and exploring options to move towards the $50M borrow TVL goal, as shared in the blog. Progress updates will be shared, and input is valued to shape the path forward.

The main risks include TVL consolidation, market volatility, and competition among 500+ lending protocols, as outlined in the latest blog. The team is mitigating these by focusing on PMF, strategic chain expansions, and TVL milestones to ensure a stable MINTY launch.","https://minterest.com/blog/navigating-toward-product-market-fit/
Explanation: Addresses risks and PMF, matching this blog’s discussion of market challenges and mitigation strategies.",
Health Factor,Product,"Safety, Guidelines","Borrowing crypto on the Minterest platform allows users to borrow assets like stablecoins by locking up their tokens as collateral, meaning you don't need to sell your holdings to access liquidity. The app uses an overcollateralised model where your collateral must exceed the value of the loan. Interest rates are dynamic and driven by market supply and demand. If the value of your collateral drops too low, your position may be partially liquidated to maintain protocol stability.

Borrowers repay the loan plus interest to unlock their collateral, while keeping a positive health factor to avoid liquidation. Uniquely, Minterest redistributes protocol earnings back to users, offering a more rewarding DeFi experience. More information https://minterest.com/blog/crypto-borrowing-101 or on https://docs.minterest.com/minterest-faq/borrowing.",https://minterest.com/blog/crypto-borrowing-101,
Balance Not Showing Correctly,Product,Guidelines,"→ Check user initial contribution:
BINANCE_DESTINATION_ADDRESS
0x985e9951fF1627363473c720D903f8734aaA5410
MAINNET_DESTINATIONMAINNET_DESTINATION_ADDRESS
0x57d9F8A25C312fAA89b2F3beD4ddD86124A9eF9b

#1 → Go to https://bscscan.com or https://etherscan.io
#2 → Type destination address
#3 → Choose BEP-20 token transactions (or ERC-20)
#4 → You can download a full list in the bottom right section of the page
#5 → Make sure to choose a range starting from November 1st (2023)
#6 → Search by user wallet address
#7 → If balance is still not correct in UI we’ll need to investigate this, please collect these details
Wallet Address + Transaction ID + Email ⁄ Handle:
@email@address.com ⁄ @username

→ Check balance calculator for CAE participants:
https://docs.google.com/spreadsheets/d/1RQ2hIVSAZPDDIeZ_gpK-MmT9824TDomU/edit?gid=363314289#gid=363314289&range=B27",,
Public Calculators,Community,Guidelines,"→ https://docs.google.com/spreadsheets/d/1ul--jUjOEsqcuTgNbLGc4nM5l-6PhSfP

→ https://docs.google.com/spreadsheets/d/1pz1xr9Fp3NCxkMxR6M-7oRQl2EKRw1B7",,
Access User Dashboard,Community,Guidelines,"→ For external access to a member’s dashboard please use https://impersonator.xyz:

#1 → Paste the wallet address
#2 → Use WalletConnect to connect to Minterest and copy the Connect Your Wallet link
#3 → Paste the link on https://impersonator.xyz over WalletConnect URI
#4 → Make sure you're on the correct network & click Connect
#5 → Go back to the Minterest app",,
Zero Balance,Product,Guidelines,"→ If a member has zero balance ⁄ no active dashboard:

#1 → The user isn’t a CAE or LBP participant
#2 → Wrong wallet connected — make sure that user connected the one used to participate (CAE ⁄ LBP)
#3 → If still zero please collect these details
Wallet Address + Transaction ID + Email ⁄ Handle:
@email@address.com ⁄ @username",,
CAE + LBP Participators,Community,Guidelines,"→ To calculate balance in case user participated in the CAE + LBP:

There can be a case when a user struggled to calculate the final amount because he used the same wallet address for both events.

#1 → To calculate final token amounts from the CAE please check the balance calculator for CAE participants:
https://docs.google.com/spreadsheets/d/1RQ2hIVSAZPDDIeZ_gpK-MmT9824TDomU/edit?gid=363314289#gid=363314289&range=B27
#2 → For final token amounts from the LBP please https://www.notion.so/1eae6c7e943f80438f36f259156e6829?pvs=21
#3 → You can search by user wallet address for the exact amount received
#4 → Add up both values",,
Vested ⁄ Whitelisted Users,Community,Guidelines,"→ To check if a member is whitelisted ⁄ has vesting:

#1 → https://minterest-finance.github.io/tech-support-ui 
This page mentions MNT (not MINTY)
Please use https://impersonator.xyz for a full review

#1 → Paste the wallet address
#2 → Use WalletConnect to connect to Minterest and copy the Connect Your Wallet link
#3 → Paste the link on https://impersonator.xyz over WalletConnect URI
#4 → Make sure you're on the correct network & click Connect
#5 → Go back to the Minterest app

#2 → Paste wallet address",,
Member NFTs,Community,Guidelines,"→ To check a member’s NFT:

API on Mantle
https://mantle.minterest.com/api/user/nft/0xcc69D786042077865CC86CDF5e1524830114e67E

API on Ethereum
https://app.minterest.com/api/user/nft/0xcc69D786042077865CC86CDF5e1524830114e67E",,
MNT on MetaMask,Community,Guidelines,"If a member has MNT tokens on his MetaMask wallet, that’s a temporary ERC20 token created for the LBP. It’s now frozen — no transaction can be done using it — and we’re not going to unfreeze it ⁄ use it in any other way.",,
Compromised Wallet,Community,"Safety, Guidelines","→ If a member reports on a compromised wallet:

MINTY tokens have already been distributed to CAE + LBP wallets, which means their ownership resides with the wallet holder and we no longer have access to them, nor the ability to reassign where they go. Though we realise this doesn’t resolve your issue, we did want to clarify why we are now unable to change the receiving wallet addresses.",,
Withdrawing All Assets,Community,Guidelines,"#1 → Make sure your borrow position is paid in full and turn off the collateral toggle
#2 → Make sure you have enough MNT in your wallet to cover for transaction fees
#3 → After turning the collateral toggle off, click on the asset you wish to withdraw
#4 → Click Withdraw on the top left section of your dashboard
#5 → Select the amount you wish to withdraw
#6 → Click Withdraw and wait for the funds to be transferred to your wallet",,
Collateral Toggle Failing,Product,Guidelines,"#1 → Make sure you’ve repaid your borrow position in full.
#2 → Make sure you have enough MNT in your wallet to cover for transaction fees
#3 → Click on the asset you are trying to repay
#4 → Click the Repay button
#5 → Click MAX
#6 → Click rRepay
#7 → Head back to your dashboard
#8 → Turn the collateral toggle off",,
Ethereum Wallets,Product,"Safety, Guidelines","→ MetaMask
→ MathWallet
→ BitGet
→ SafePal
→ WalletConnect
→ OKX
→ Unstoppable Domains

(Mantle supports same + all injected wallets)",,
Mantle Supply Failing,Product,Guidelines,"→ When trying to supply assets on the Mantle blockchain, you may be getting the message: ”Something went wrong, Minterest team is working on it”

→ Please ensure you have enough MNT to cover for transaction fees.
Insufficient funds for fees can often prevent transactions from completing.",,
